DATE,PRIX,HIPPODROME,ARRIVEE
01/01/2010,PRIX DU CROISE-LAROCHE,Vincennes,14 - 11 - 2 - 6 - 19
02/01/2010,PRIX DE MEULAN,Vincennes,5 - 8 - 15 - 12 - 13
03/01/2010,PRIX DE BOURGOGNE,Vincennes,9 - 3 - 5 - 4 - 12
04/01/2010,PRIX DE LA BAIE DE SEINE,Deauville,13 - 8 - 16 - 7 - 5
05/01/2010,PRIX PIERRE ESTREM-REY,Pau,15 - 18 - 7 - 9 - 6
06/01/2010,PRIX HERSILIE,Vincennes,6 - 2 - 12 - 1 - 13
07/01/2010,PRIX DE POITIERS,Vincennes,2 - 9 - 17 - 7 - 15
08/01/2010,PRIX DE BASSE-NORMANDIE,Deauville,6 - 2 - 9 - 12 - 7
09/01/2010,PRIX DE MAISONS-ALFORT,Vincennes,5 - 13 - 15 - 10 - 12
10/01/2010,PRIX DE LILLE,Vincennes,7 - 16 - 5 - 17 - 10
11/01/2010,PRIX DE RIBEAUVILLE,Vincennes,14 - 7 - 15 - 11 - 8
12/01/2010,PRIX DU LIMOUSIN,Vincennes,17 - 11 - 8 - 19 - 1
13/01/2010,PRIX DE LA COTE D'ARGENT,Cagnes,5 - 8 - 1 - 13 - 2
14/01/2010,PRIX D'EVIAN,Vincennes,1 - 8 - 9 - 4 - 15
15/01/2010,PRIX DE LA COTE D'AZUR,Cagnes,3 - 10 - 1 - 12 - 15
16/01/2010,PRIX DU FOREZ,Vincennes,15 - 13 - 9 - 10 - 6
17/01/2010,PRIX DE BELGIQUE,Vincennes,3 - 2 - 10 - 5 - 7
18/01/2010,PRIX DE BOIS-GUILLAUME,Vincennes,7 - 11 - 9 - 13 - 5
19/01/2010,PRIX AUGUSTE DE CASTELBAJAC,Pau,11 - 14 - 12 - 7 - 1
20/01/2010,PRIX DE NORMANDIE,Cagnes,16 - 10 - 11 - 2 - 8
21/01/2010,PRIX DE PRIVAS,Vincennes,13 - 8 - 2 - 15 - 7
22/01/2010,PRIX DE MARSEILLE,Cagnes,9 - 3 - 6 - 12 - 13
23/01/2010,PRIX DE GRANVILLE,Vincennes,9 - 6 - 14 - 8 - 15
24/01/2010,PRIX DE CORNULIER,Vincennes,16 - 14 - 13 - 6 - 15
25/01/2010,PRIX DE CANNES,Cagnes,3 - 14 - 6 - 12 - 16
26/01/2010,PRIX CHARLES GASTAUD,Cagnes,1 - 15 - 8 - 16 - 17
27/01/2010,PRIX UNE DE MAI,Cagnes,10 - 3 - 7 - 4 - 5
28/01/2010,PRIX DE LA THIERACHE,Vincennes,4 - 12 - 10 - 13 - 9
29/01/2010,PRIX RENE CRAMAIL,Pau,5 - 7 - 14 - 4 - 6
30/01/2010,PRIX DU LUXEMBOURG,Vincennes,5 - 6 - 14 - 13 - 4
31/01/2010,PRIX D'AMERIQUE MARIONNAUD,Vincennes,6 - 1 - 18 - 14 - 13
01/02/2010,PRIX DE LA CHARTRE SUR LE LOIR,Vincennes,11 - 4 - 12 - 13 - 9
02/02/2010,PRIX DE VITTEL,Vincennes,8 - 4 - 10 - 15 - 14
03/02/2010,PRIX DE NICE,Cagnes,4 - 2 - 6 - 7 - 8
04/02/2010,PRIX DE LANGEAIS,Vincennes,13 - 11 - 14 - 4 - 1
05/02/2010,PRIX ANNIE HUTTON,Pau,5 - 2 - 17 - 13 - 11
06/02/2010,PRIX D'AVIGNON,Vincennes,8 - 2 - 12 - 13 - 10
07/02/2010,PRIX DES ROUGES TERRES,Vincennes,6 - 4 - 12 - 13 - 10
08/02/2010,PRIX DE GAILLAC,Vincennes,14 - 13 - 7 - 12 - 9
09/02/2010,PRIX DES PENSEES,Cagnes,6 - 14 - 5 - 9 - 8
10/02/2010,PRIX DE L'ILLE-ET-VILAINE,Vincennes,12 - 7 - 15 - 3 - 5
11/02/2010,PRIX DE LA NIEVRE,Vincennes,15 - 11 - 10 - 13 - 16
12/02/2010,PRIX D'OLARGUES,Cagnes,3 - 15 - 12 - 17 - 8
13/02/2010,PRIX DU BOUSCAT,Vincennes,6 - 13 - 16 - 10 - 4
