place,placeoptin,rapport,cr-reunion,cr-num,cr-nb_partants,cr-Hippodrome,cr-Evt,cr-Date,cr-autostart,cr-corde,cr-etat du terrain,cr-distance,Numcheval,CoteProbable,Sexe,NbRencontre,NbBattus,SommeNbRencontre,SommeNbBattus,NumCourseJockey,QteCourseJockeyJour,SumCote5Race,MoyenneCote5Race,qteCoteCheval,ETCote5Race,SumPoids,SumIdJockey,SumidHippodrome,SumIdDeferre,SumDistance,SumAllocation,PositionIdJockey,PositionidHippodrome,PositionIdDeferre,PositionDistance,PositionAllocation,pourcentIdJockey,pourcentidHippodrome,pourcentIdDeferre,pourcentDistance,pourcentAllocation,SommeCourse,nbjourdercourse,numeroagespec,numerodistancespec,numerodeferrespec,numerosexespec,numeroagesexedistancespec,idjockeynumcoursenbrcoursespec,jockeyReussite,jockeyReussitePlusPlace,jockeyReussiteSpecialite,jockeynReussiteDistance,jockeyReussiteIdcheval,jockeyReussiteDeferre,jockeynReussiteSpecialiteDeferre,jockeyReussiteDistanceDeferre,entraineurReussite,entraineurReussitePlusPlace,entraineurReussiteSpecialite,entraineurnReussiteDistance,entraineurReussiteIdcheval,chevalReussite,chevalReussitePlusPlace,chevalReussiteSpecialite,chevalnReussiteDistance,coteprobable,gains
0,2,0,1,1,17,Vincennes,0,01-01-2011,1,corde à gauche,terrain bon,2.100 mètres,9,4,F,0,0,0,0,0,1,0.9392,0.9479,0,0.9716,0,0.6,0.75,0.8462,0.3333,0.5,0.5556,0.5714,0.5714,0,1,0.5,0.58,0.6742,0.2424,1,0.5,0.6598,0.375,0.2381,0.1333,0.25,0.3,0,0.1668,0.7601,0.1586,0.0503,0.5,0.0195,0.6316,0,0,0,0,0,0,0.3877,0.3136,0.301,0.25,1,0.8943
0,8,0,1,4,15,Vincennes,1,01-01-2011,0,corde à gauche,terrain bon,2.850 mètres,12,3,H,0,0,0,0,1,0.6,0.9352,0.9352,0,0.8855,0,0.875,0.8333,0.9265,0.5882,0,0.8235,0.8889,0.8889,0.8333,0,0.1549,0.7333,0.2308,0.72,0,0.0968,0.9176,0.5,0.2778,0.4815,0.6154,0.4737,0.3784,0.4439,0.3092,0.4902,0.4665,0.16,0.3084,1,0.3621,0,0,0,0,0,0.587,0.2651,0.587,0.7142,1,0.8717
1,1,2.4,1,6,13,Vincennes,0,01-01-2011,1,corde à gauche,terrain bon,2.100 mètres,7,4,F,0,0,0,0,1,1,0.8854,0.8854,0,0.8551,0,0.2813,0.36,0.3333,0.5,0.75,0.3077,0.4,0.4,0.6667,1,0.4429,0.4262,0.7875,0.5,1,0.7895,0.9914,0.25,0.3125,0.6429,0.625,0.375,0.64,0.522,0.9775,0.5239,0.6485,0.441,0.4554,0.8701,0.7248,0,0,0,0,0,0.6358,0.7295,0.6358,0.5001,0.9697,0
1,1,1.4,1,9,7,Vincennes,0,01-01-2011,1,corde à gauche,terrain bon,2.100 mètres,7,2,F,0,0,0,0,0.8,0.8,1,1,1,1,0,0.4,0.3333,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0.2857,0,0.8333,0.6667,0.125,0.8,0.0938,0.0206,0.7239,0,0.7855,0,0.1147,0.1314,1,0,0,0,0,0,0,0.0096,0,1,1,0.1892
0,8,0,1,2,15,Vincennes,0,02-01-2011,0,corde à gauche,terrain bon,2.700 mètres,10,6,H,0,0,0,0,1,0.8333,0.8172,0.8231,0,0.7818,0,0.25,0.7,0.6364,0.6667,0,0.2,0.3333,0.3333,0,0,0.56,0.34,0.6667,0,0,0.6364,0.8028,0.5,0,0.7857,0.875,0.7059,0.4,0.7046,0.9331,0.7056,0.1024,0.5556,0.755,1,0.0209,1,1,1,1,0,0.8642,0.8798,0.8642,0,0.9211,0.8555
1,1,1.8,1,4,18,Vincennes,1,02-01-2011,1,corde à gauche,terrain bon,2.100 mètres,3,3,M,0,0,0,0,0.5,0.1667,1,1,0,1,0,1,0.6429,1,0.8333,1,1,0.2,0.2,0.7778,1,1,0,0.6458,0.1429,1,0.977,0.56,0.2632,0.2381,0.375,0.5,0.2647,0.5556,0.9756,0.6667,0.9757,0.9331,1,0.9018,1,1,1,1,1,1,0,0,0.045,0,0.1428,1,0.9967
1,1,1.6,1,5,11,Vincennes,0,02-01-2011,1,corde à gauche,terrain bon,2.100 mètres,2,4,H,0,0,0,0,0.3333,0.1667,1,1,0,0.6571,0,0.9355,0.8095,0.375,1,0,0.7778,0.8,0.8,1,1,0,0.6897,0.5469,1,1,0.25,0.9355,0.875,0.3636,0.8571,1,0.3636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.571,0.499,0.571,1,1,0
1,1,1.3,1,6,12,Vincennes,0,02-01-2011,0,corde à gauche,terrain bon,2.850 mètres,4,4,F,0,0,0,0,0.6667,0.8,0.9245,0.9245,0,0.6969,0,0.9733,0.7727,1,0.8889,1,0.9444,0.4375,0.4375,0.6667,1,0,0,0,0,1,1,0.7241,0.0833,0.3571,0.1429,0.5,0.1379,0.4,0.4115,0.7801,0.4118,0.4244,0,0,1,0.5517,0.6667,0.6502,0.6667,0,0,0.4495,0.708,0.3158,0,1,0.5672
1,1,2.3,1,7,18,Vincennes,0,02-01-2011,0,corde à gauche,terrain bon,2.700 mètres,5,6,F,0,0,0,0,0.5,0.6667,1,1,0.5,1,0,0.7179,0.7826,1,0.8571,1,0.4615,0.6,0.6,1,0,0.37,0.6,1,1,0,1,1,0.3,0.1667,0.1667,0,0.5172,0.2973,0.2759,0.8867,0.246,0.2307,0.3636,0.2115,1,0.3167,1,1,1,0,0,0,0,0,1,0.9574,0.8626
0,2,0,1,9,10,Vincennes,0,02-01-2011,0,corde à gauche,terrain bon,2.850 mètres,10,9,F,0,0,0,0,0.3333,0.3333,0,0,0,0.0825,0,1,1,0.5,1,1,1,1,1,1,1,1,1,0.34,1,1,0.8333,0.6667,0.5,0.0714,0.8125,0.375,0.2353,0.6364,0.4495,0.3068,0.5026,0.5121,1,0.5016,0.0932,0.6319,1,1,1,0,0,0.1375,0.1591,0.1375,1,0.7647,0.8151
