odds_id,runner_id,race_id,date,hippodrome,odds_type,decimal_odds,implied_prob,snapshot_time
20250909-R2-C1-1-final,20250909-R2-C1-1,20250909-R2-C1,20250909,SON PARDO,final,50.0,0.02,2026-03-08 16:29:46.534293
20250909-R2-C1-1-morning,20250909-R2-C1-1,20250909-R2-C1,20250909,SON PARDO,morning,24.0,0.041667,2026-03-08 16:29:46.534293
20250909-R2-C1-2-final,20250909-R2-C1-2,20250909-R2-C1,20250909,SON PARDO,final,10.0,0.1,2026-03-08 16:29:46.534293
20250909-R2-C1-2-morning,20250909-R2-C1-2,20250909-R2-C1,20250909,SON PARDO,morning,10.0,0.1,2026-03-08 16:29:46.534293
20250909-R2-C1-3-final,20250909-R2-C1-3,20250909-R2-C1,20250909,SON PARDO,final,6.6,0.151515,2026-03-08 16:29:46.534293
20250909-R2-C1-3-morning,20250909-R2-C1-3,20250909-R2-C1,20250909,SON PARDO,morning,4.4,0.227273,2026-03-08 16:29:46.534293
20250909-R2-C1-4-final,20250909-R2-C1-4,20250909-R2-C1,20250909,SON PARDO,final,1.4,0.714286,2026-03-08 16:29:46.534293
20250909-R2-C1-4-morning,20250909-R2-C1-4,20250909-R2-C1,20250909,SON PARDO,morning,1.9,0.526316,2026-03-08 16:29:46.534293
20250909-R2-C1-5-final,20250909-R2-C1-5,20250909-R2-C1,20250909,SON PARDO,final,71.0,0.014085,2026-03-08 16:29:46.534293
20250909-R2-C1-5-morning,20250909-R2-C1-5,20250909-R2-C1,20250909,SON PARDO,morning,37.0,0.027027,2026-03-08 16:29:46.534293
20250909-R2-C1-6-final,20250909-R2-C1-6,20250909-R2-C1,20250909,SON PARDO,final,6.6,0.151515,2026-03-08 16:29:46.534293
20250909-R2-C1-6-morning,20250909-R2-C1-6,20250909-R2-C1,20250909,SON PARDO,morning,5.1,0.196078,2026-03-08 16:29:46.534293
20250909-R2-C1-7-final,20250909-R2-C1-7,20250909-R2-C1,20250909,SON PARDO,final,31.0,0.032258,2026-03-08 16:29:46.534293
20250909-R2-C1-7-morning,20250909-R2-C1-7,20250909-R2-C1,20250909,SON PARDO,morning,25.0,0.04,2026-03-08 16:29:46.534293
20250909-R2-C2-1-final,20250909-R2-C2-1,20250909-R2-C2,20250909,SON PARDO,final,71.0,0.014085,2026-03-08 16:29:46.534293
20250909-R2-C2-1-morning,20250909-R2-C2-1,20250909-R2-C2,20250909,SON PARDO,morning,49.0,0.020408,2026-03-08 16:29:46.534293
20250909-R2-C2-2-final,20250909-R2-C2-2,20250909-R2-C2,20250909,SON PARDO,final,36.0,0.027778,2026-03-08 16:29:46.534293
20250909-R2-C2-2-morning,20250909-R2-C2-2,20250909-R2-C2,20250909,SON PARDO,morning,23.0,0.043478,2026-03-08 16:29:46.534293
20250909-R2-C2-3-final,20250909-R2-C2-3,20250909-R2-C2,20250909,SON PARDO,final,90.0,0.011111,2026-03-08 16:29:46.534293
20250909-R2-C2-3-morning,20250909-R2-C2-3,20250909-R2-C2,20250909,SON PARDO,morning,55.0,0.018182,2026-03-08 16:29:46.534293
20250909-R2-C2-4-final,20250909-R2-C2-4,20250909-R2-C2,20250909,SON PARDO,final,25.0,0.04,2026-03-08 16:29:46.534293
20250909-R2-C2-4-morning,20250909-R2-C2-4,20250909-R2-C2,20250909,SON PARDO,morning,16.0,0.0625,2026-03-08 16:29:46.534293
20250909-R2-C2-5-final,20250909-R2-C2-5,20250909-R2-C2,20250909,SON PARDO,final,12.0,0.083333,2026-03-08 16:29:46.534293
20250909-R2-C2-5-morning,20250909-R2-C2-5,20250909-R2-C2,20250909,SON PARDO,morning,9.1,0.10989,2026-03-08 16:29:46.534293
20250909-R2-C2-6-final,20250909-R2-C2-6,20250909-R2-C2,20250909,SON PARDO,final,2.3,0.434783,2026-03-08 16:29:46.534293
20250909-R2-C2-6-morning,20250909-R2-C2-6,20250909-R2-C2,20250909,SON PARDO,morning,1.8,0.555556,2026-03-08 16:29:46.534293
20250909-R2-C2-7-final,20250909-R2-C2-7,20250909-R2-C2,20250909,SON PARDO,final,6.0,0.166667,2026-03-08 16:29:46.534293
20250909-R2-C2-7-morning,20250909-R2-C2-7,20250909-R2-C2,20250909,SON PARDO,morning,7.2,0.138889,2026-03-08 16:29:46.534293
20250909-R2-C2-8-final,20250909-R2-C2-8,20250909-R2-C2,20250909,SON PARDO,final,2.7,0.37037,2026-03-08 16:29:46.534293
20250909-R2-C2-8-morning,20250909-R2-C2-8,20250909-R2-C2,20250909,SON PARDO,morning,4.6,0.217391,2026-03-08 16:29:46.534293
20250909-R2-C3-1-final,20250909-R2-C3-1,20250909-R2-C3,20250909,SON PARDO,final,19.0,0.052632,2026-03-08 16:29:46.534293
20250909-R2-C3-1-morning,20250909-R2-C3-1,20250909-R2-C3,20250909,SON PARDO,morning,8.5,0.117647,2026-03-08 16:29:46.534293
20250909-R2-C3-2-final,20250909-R2-C3-2,20250909-R2-C3,20250909,SON PARDO,final,62.0,0.016129,2026-03-08 16:29:46.534293
20250909-R2-C3-2-morning,20250909-R2-C3-2,20250909-R2-C3,20250909,SON PARDO,morning,50.0,0.02,2026-03-08 16:29:46.534293
20250909-R2-C3-3-final,20250909-R2-C3-3,20250909-R2-C3,20250909,SON PARDO,final,44.0,0.022727,2026-03-08 16:29:46.534293
20250909-R2-C3-3-morning,20250909-R2-C3-3,20250909-R2-C3,20250909,SON PARDO,morning,12.0,0.083333,2026-03-08 16:29:46.534293
20250909-R2-C3-4-final,20250909-R2-C3-4,20250909-R2-C3,20250909,SON PARDO,final,3.6,0.277778,2026-03-08 16:29:46.534293
20250909-R2-C3-4-morning,20250909-R2-C3-4,20250909-R2-C3,20250909,SON PARDO,morning,7.9,0.126582,2026-03-08 16:29:46.534293
20250909-R2-C3-5-final,20250909-R2-C3-5,20250909-R2-C3,20250909,SON PARDO,final,1.6,0.625,2026-03-08 16:29:46.534293
20250909-R2-C3-5-morning,20250909-R2-C3-5,20250909-R2-C3,20250909,SON PARDO,morning,1.6,0.625,2026-03-08 16:29:46.534293
20250909-R2-C3-6-final,20250909-R2-C3-6,20250909-R2-C3,20250909,SON PARDO,final,12.0,0.083333,2026-03-08 16:29:46.534293
20250909-R2-C3-6-morning,20250909-R2-C3-6,20250909-R2-C3,20250909,SON PARDO,morning,14.0,0.071429,2026-03-08 16:29:46.534293
20250909-R2-C3-7-final,20250909-R2-C3-7,20250909-R2-C3,20250909,SON PARDO,final,49.0,0.020408,2026-03-08 16:29:46.534293
20250909-R2-C3-7-morning,20250909-R2-C3-7,20250909-R2-C3,20250909,SON PARDO,morning,21.0,0.047619,2026-03-08 16:29:46.534293
20250909-R2-C3-8-final,20250909-R2-C3-8,20250909-R2-C3,20250909,SON PARDO,final,109.0,0.009174,2026-03-08 16:29:46.534293
20250909-R2-C3-8-morning,20250909-R2-C3-8,20250909-R2-C3,20250909,SON PARDO,morning,50.0,0.02,2026-03-08 16:29:46.534293
20250909-R2-C3-9-final,20250909-R2-C3-9,20250909-R2-C3,20250909,SON PARDO,final,20.0,0.05,2026-03-08 16:29:46.534293
20250909-R2-C3-9-morning,20250909-R2-C3-9,20250909-R2-C3,20250909,SON PARDO,morning,16.0,0.0625,2026-03-08 16:29:46.534293
20250909-R2-C4-1-final,20250909-R2-C4-1,20250909-R2-C4,20250909,SON PARDO,final,7.9,0.126582,2026-03-08 16:29:46.534293
20250909-R2-C4-1-morning,20250909-R2-C4-1,20250909-R2-C4,20250909,SON PARDO,morning,6.6,0.151515,2026-03-08 16:29:46.534293
20250909-R2-C4-10-final,20250909-R2-C4-10,20250909-R2-C4,20250909,SON PARDO,final,6.4,0.15625,2026-03-08 16:29:46.534293
20250909-R2-C4-10-morning,20250909-R2-C4-10,20250909-R2-C4,20250909,SON PARDO,morning,15.0,0.066667,2026-03-08 16:29:46.534293
20250909-R2-C4-11-final,20250909-R2-C4-11,20250909-R2-C4,20250909,SON PARDO,final,43.0,0.023256,2026-03-08 16:29:46.534293
