runner_id,race_id,date,hippodrome,race_datetime,distance_metres,discipline,field_size,horse_number,horse_name,jockey_name,trainer_name,draw_position,handicap_distance,deferre,musique,morning_odds,final_odds,odds_drift_pct,implied_prob_norm,finish_position,km_time
20250909-R2-C1-1,20250909-R2-C1,20250909,SON PARDO,2025-09-09 11:07:00,2150,TROT_ATTELE,7,1,KATARI CROWN,A. VALLS,M. VICH C.,1,2150,True,6aDa6a5aRa7a,24.0,50.0,1.0833,0.035971,5,77700
20250909-R2-C1-2,20250909-R2-C1,20250909,SON PARDO,2025-09-09 11:07:00,2150,TROT_ATTELE,7,2,KAPITA DE MANDIA,JME. FLUXA,J. POCOVI,2,2150,False,3a2a4a6a0a4a,10.0,10.0,0.0,0.086329,2,77400
20250909-R2-C1-3,20250909-R2-C1,20250909,SON PARDO,2025-09-09 11:07:00,2150,TROT_ATTELE,7,3,LEO BLAI,M. MESTRE,C. SUBIRATS,3,2150,False,1a1a0a6a6a2a,4.4,6.6,0.5,0.196202,3,77500
20250909-R2-C1-4,20250909-R2-C1,20250909,SON PARDO,2025-09-09 11:07:00,2150,TROT_ATTELE,7,4,JUST DREAM D'AUBA,A. FRONTERA,C. ESCALAS T.,4,2150,False,1a1aDa2a1a1a,1.9,1.4,-0.2632,0.454363,1,77100
20250909-R2-C1-5,20250909-R2-C1,20250909,SON PARDO,2025-09-09 11:07:00,2150,TROT_ATTELE,7,5,DALLAS VICTORY,JU. PONS P.,R. MATAS M.,5,2150,True,7a4m7a3m0a5m,37.0,71.0,0.9189,0.023332,6,78000
20250909-R2-C1-6,20250909-R2-C1,20250909,SON PARDO,2025-09-09 11:07:00,2150,TROT_ATTELE,7,6,JOPETAS SB,B. LLOBET R.,B. LLOBET R.,6,2150,True,3a1a1a2a2a2a,5.1,6.6,0.2941,0.169272,4,77600
20250909-R2-C2-1,20250909-R2-C2,20250909,SON PARDO,2025-09-09 11:35:00,2150,TROT_ATTELE,8,1,LAUDA LLINARITX,J. PASTOR,J. PASTOR,1,2150,False,5a2a4a0a0aDa,49.0,71.0,0.449,0.017498,5,79200
20250909-R2-C2-2,20250909-R2-C2,20250909,SON PARDO,2025-09-09 11:35:00,2150,TROT_ATTELE,8,2,MAR DURAN,B. MASCARO,O. PUIGSERVER,2,2150,False,Da2aRa5a1a4a,23.0,36.0,0.5652,0.037279,4,79200
20250909-R2-C2-3,20250909-R2-C2,20250909,SON PARDO,2025-09-09 11:35:00,2150,TROT_ATTELE,8,3,MOONLIGHT GOM,JU. PONS P.,G. J. PONS F.,3,2150,False,Da0a5a5a0aRa,55.0,90.0,0.6364,0.01559,3,79000
20250909-R2-C2-4,20250909-R2-C2,20250909,SON PARDO,2025-09-09 11:35:00,2150,TROT_ATTELE,8,4,MAI VIST DE ROSER,A. FRONTERA,A. FRONTERA,4,2150,False,6aDa4a3a3a3a,16.0,25.0,0.5625,0.053589,6,79200
