race_id,date,hippodrome,race_datetime,distance_metres,track_condition,discipline,is_trot,field_size,reunion_number,course_number
20250909-R2-C1,20250909,SON PARDO,2025-09-09 11:07:00,2150,,TROT_ATTELE,True,7,2,1
20250909-R2-C2,20250909,SON PARDO,2025-09-09 11:35:00,2150,,TROT_ATTELE,True,8,2,2
20250909-R2-C3,20250909,SON PARDO,2025-09-09 12:07:00,2150,,TROT_ATTELE,True,9,2,3
20250909-R2-C4,20250909,SON PARDO,2025-09-09 12:39:00,2150,,TROT_ATTELE,True,11,2,4
20250909-R2-C5,20250909,SON PARDO,2025-09-09 13:17:00,2150,,TROT_ATTELE,True,12,2,5
20250909-R4-C1,20250909,VINCENNES,2025-09-09 16:35:00,2175,,TROT_MONTE,True,12,4,1
20250909-R4-C2,20250909,VINCENNES,2025-09-09 17:12:00,2100,,TROT_ATTELE,True,15,4,2
20250909-R4-C3,20250909,VINCENNES,2025-09-09 17:47:00,2700,,TROT_ATTELE,True,11,4,3
20250909-R4-C4,20250909,VINCENNES,2025-09-09 18:20:00,2100,,TROT_ATTELE,True,12,4,4
20250909-R4-C5,20250909,VINCENNES,2025-09-09 19:15:00,2175,,TROT_ATTELE,True,10,4,5
20250909-R4-C6,20250909,VINCENNES,2025-09-09 19:45:00,2175,,TROT_MONTE,True,10,4,6
20250909-R4-C7,20250909,VINCENNES,2025-09-09 20:15:00,2100,,TROT_ATTELE,True,14,4,7
20250909-R4-C8,20250909,VINCENNES,2025-09-09 20:45:00,2200,,TROT_ATTELE,True,9,4,8
20250909-R5-C1,20250909,MONS (GHLIN),2025-09-09 19:02:00,2300,,TROT_ATTELE,True,14,5,1
20250909-R5-C2,20250909,MONS (GHLIN),2025-09-09 19:31:00,2300,,TROT_ATTELE,True,15,5,2
20250909-R5-C3,20250909,MONS (GHLIN),2025-09-09 20:00:00,1750,,TROT_ATTELE,True,13,5,3
20250909-R5-C4,20250909,MONS (GHLIN),2025-09-09 20:30:00,2840,,TROT_ATTELE,True,12,5,4
20250909-R5-C5,20250909,MONS (GHLIN),2025-09-09 21:00:00,2300,,TROT_ATTELE,True,16,5,5
20250909-R5-C6,20250909,MONS (GHLIN),2025-09-09 21:30:00,2840,,TROT_ATTELE,True,11,5,6
20250909-R5-C7,20250909,MONS (GHLIN),2025-09-09 22:00:00,1750,,TROT_ATTELE,True,16,5,7
20250909-R5-C8,20250909,MONS (GHLIN),2025-09-09 22:30:00,2300,,TROT_ATTELE,True,13,5,8
20250910-R1-C1,20250910,MESLAY DU MAINE,2025-09-10 13:55:00,2850,,TROT_ATTELE,True,16,1,1
20250910-R1-C2,20250910,MESLAY DU MAINE,2025-09-10 14:32:00,2850,,TROT_ATTELE,True,13,1,2
20250910-R1-C3,20250910,MESLAY DU MAINE,2025-09-10 15:11:00,2875,,TROT_ATTELE,True,12,1,3
20250910-R1-C4,20250910,MESLAY DU MAINE,2025-09-10 15:43:00,2875,,TROT_ATTELE,True,16,1,4
20250910-R1-C5,20250910,MESLAY DU MAINE,2025-09-10 16:17:00,2875,,TROT_ATTELE,True,15,1,5
20250910-R1-C6,20250910,MESLAY DU MAINE,2025-09-10 16:50:00,2875,,TROT_MONTE,True,10,1,6
20250910-R1-C7,20250910,MESLAY DU MAINE,2025-09-10 17:25:00,2875,,TROT_ATTELE,True,15,1,7
20250910-R1-C8,20250910,MESLAY DU MAINE,2025-09-10 18:00:00,2875,,TROT_ATTELE,True,13,1,8
20250910-R2-C1,20250910,JARLSBERG,2025-09-10 11:03:00,2100,,TROT_ATTELE,True,8,2,1
20250910-R2-C2,20250910,JARLSBERG,2025-09-10 11:35:00,2100,,TROT_ATTELE,True,10,2,2
20250910-R2-C3,20250910,JARLSBERG,2025-09-10 12:07:00,1609,,TROT_ATTELE,True,10,2,3
20250910-R2-C4,20250910,JARLSBERG,2025-09-10 12:39:00,1609,,TROT_ATTELE,True,11,2,4
20250910-R2-C5,20250910,JARLSBERG,2025-09-10 13:11:00,2100,,TROT_ATTELE,True,12,2,5
20250910-R8-C8,20250910,SOLVALLA,2025-09-10 21:05:00,2140,,TROT_ATTELE,True,12,8,8
20250910-R8-C9,20250910,SOLVALLA,2025-09-10 21:26:00,1640,,TROT_ATTELE,True,9,8,9
20250910-R8-C10,20250910,SOLVALLA,2025-09-10 21:51:00,2140,,TROT_ATTELE,True,9,8,10
