runner_id,race_id,date,hippodrome,distance_metres,discipline,field_size,horse_number,horse_name,jockey_name,trainer_name,draw_position,weight_kg,handicap_distance,deferre,scratch,musique,finish_position,km_time
20250909-R2-C1-1,20250909-R2-C1,20250909,SON PARDO,2150,TROT_ATTELE,7,1,KATARI CROWN,A. VALLS,M. VICH C.,1,,2150,True,False,6aDa6a5aRa7a,5,77700
20250909-R2-C1-2,20250909-R2-C1,20250909,SON PARDO,2150,TROT_ATTELE,7,2,KAPITA DE MANDIA,JME. FLUXA,J. POCOVI,2,,2150,False,False,3a2a4a6a0a4a,2,77400
20250909-R2-C1-3,20250909-R2-C1,20250909,SON PARDO,2150,TROT_ATTELE,7,3,LEO BLAI,M. MESTRE,C. SUBIRATS,3,,2150,False,False,1a1a0a6a6a2a,3,77500
20250909-R2-C1-4,20250909-R2-C1,20250909,SON PARDO,2150,TROT_ATTELE,7,4,JUST DREAM D'AUBA,A. FRONTERA,C. ESCALAS T.,4,,2150,False,False,1a1aDa2a1a1a,1,77100
20250909-R2-C1-5,20250909-R2-C1,20250909,SON PARDO,2150,TROT_ATTELE,7,5,DALLAS VICTORY,JU. PONS P.,R. MATAS M.,5,,2150,True,False,7a4m7a3m0a5m,6,78000
20250909-R2-C1-6,20250909-R2-C1,20250909,SON PARDO,2150,TROT_ATTELE,7,6,JOPETAS SB,B. LLOBET R.,B. LLOBET R.,6,,2150,True,False,3a1a1a2a2a2a,4,77600
20250909-R2-C1-7,20250909-R2-C1,20250909,SON PARDO,2150,TROT_ATTELE,7,7,LLIURE DE LADIL,S. POCOVI,J. POCOVI,7,,2150,False,False,3a7aDa0aDaDa,,
20250909-R2-C2-1,20250909-R2-C2,20250909,SON PARDO,2150,TROT_ATTELE,8,1,LAUDA LLINARITX,J. PASTOR,J. PASTOR,1,,2150,False,False,5a2a4a0a0aDa,5,79200
20250909-R2-C2-2,20250909-R2-C2,20250909,SON PARDO,2150,TROT_ATTELE,8,2,MAR DURAN,B. MASCARO,O. PUIGSERVER,2,,2150,False,False,Da2aRa5a1a4a,4,79200
20250909-R2-C2-3,20250909-R2-C2,20250909,SON PARDO,2150,TROT_ATTELE,8,3,MOONLIGHT GOM,JU. PONS P.,G. J. PONS F.,3,,2150,False,False,Da0a5a5a0aRa,3,79000
20250909-R2-C2-4,20250909-R2-C2,20250909,SON PARDO,2150,TROT_ATTELE,8,4,MAI VIST DE ROSER,A. FRONTERA,A. FRONTERA,4,,2150,False,False,6aDa4a3a3a3a,6,79200
20250909-R2-C2-5,20250909-R2-C2,20250909,SON PARDO,2150,TROT_ATTELE,8,5,MEILING VX,A. RIERA B.,A. RIERA B.,5,,2150,False,False,6a4a1a1a4a3a,2,78800
20250909-R2-C2-6,20250909-R2-C2,20250909,SON PARDO,2150,TROT_ATTELE,8,6,MENTA DE LADIL,JME. FLUXA,J. POCOVI,6,,2150,False,False,1a1a1aDa1a3a,,
20250909-R2-C2-7,20250909-R2-C2,20250909,SON PARDO,2150,TROT_ATTELE,8,7,MAGNO DE FONT,A. VALLS,JME. MORRO,7,,2150,False,False,3aDa3aDa1a2a,,
20250909-R2-C2-8,20250909-R2-C2,20250909,SON PARDO,2150,TROT_ATTELE,8,8,MYSTERY,M. MESTRE,C. SUBIRATS,8,,2150,False,False,1a1a1a2a3a4a,1,78800
20250909-R2-C3-1,20250909-R2-C3,20250909,SON PARDO,2150,TROT_ATTELE,9,1,DJANGO DE BOUP,A. FRONTERA,A. FRONTERA,1,,2150,False,False,6a3a1a1aDa2a,7,76300
20250909-R2-C3-2,20250909-R2-C3,20250909,SON PARDO,2150,TROT_ATTELE,9,2,DIVIN DU VIEUXCOUR,A. VIDAL A.,A. VIDAL A.,2,,2150,True,False,6a4a4a4a7a4a,9,76400
20250909-R2-C3-3,20250909-R2-C3,20250909,SON PARDO,2150,TROT_ATTELE,9,3,FRIVOLO BELLO,A. RIERA R.,A. RIERA R.,3,,2150,False,False,2a0a2a6a2a6a,6,76100
20250909-R2-C3-4,20250909-R2-C3,20250909,SON PARDO,2150,TROT_ATTELE,9,4,GIN FIZZ D'UN SOIR,M. MESTRE,M. EGIDOS S.,4,,2150,True,False,1a1a0a0aDaRa,2,75900
20250909-R2-C3-5,20250909-R2-C3,20250909,SON PARDO,2150,TROT_ATTELE,9,5,JACK FOULONIERE,G. RIERA,G. RIERA,5,,2150,False,False,1a1a1a4a1a0a,3,75900
20250909-R2-C3-6,20250909-R2-C3,20250909,SON PARDO,2150,TROT_ATTELE,9,6,FAVARY,F. BENNASAR,M. A. RIERA V.,6,,2150,False,False,6a5a1a5a4a2a,1,75500
20250909-R2-C3-7,20250909-R2-C3,20250909,SON PARDO,2150,TROT_ATTELE,9,7,FAUX DOLLARS,J. BAUZA B.,A. RIERA R.,7,,2150,True,False,6aDa4a5a5a0a,8,76300
20250909-R2-C3-8,20250909-R2-C3,20250909,SON PARDO,2150,TROT_ATTELE,9,8,GUEPARD DE MONE,B. FUSTER,J. BELLO,8,,2150,False,False,Da6a7a2a7a4a,5,76000
20250909-R2-C3-9,20250909-R2-C3,20250909,SON PARDO,2150,TROT_ATTELE,9,9,GITANO DE FELINE,M. RIERA B.,J. VAQUER M.,9,,2150,True,False,Da2a4a1a3a3a,4,75900
20250909-R2-C4-1,20250909-R2-C4,20250909,SON PARDO,2150,TROT_ATTELE,11,1,KALIU A,B. MASCARO,A. ALZAMORA,1,,2150,True,False,3a1aRa2aDa1a,4,78800
20250909-R2-C4-2,20250909-R2-C4,20250909,SON PARDO,2150,TROT_ATTELE,11,2,KALAHARI DES PONS,JU. PONS P.,G. J. PONS F.,2,,2150,False,False,DaDaDaDa3aDa,3,78600
