course,off_time,race_name,pattern,distance_round,race_class,age_band,rating_band,prize,field_size,name,age,sex,number,draw,trainer,jockey,headgear,headgear_first,lbs,ofr,rpr,ts,last_run,form,comment,spotlight,quotes,stable_tour,trainer_rtf,handicap,stats_jockey_ovr_wins_pct,distance,stats_trainer_last_14_wins,prev_trainers,dob,breeder_id,jockey_id,stats_horse_going,distance_y,trainer_14_days_runs,wind_surgery_first,breeder,damsire_id,stats_trainer_ovr_wins_pct,course_detail,reserve,trainer_14_days_percent,silk_url,race_id,stats_jockey_last_14_wins_pct,stats_trainer_ovr_profit,stats_trainer_last_14_wins_pct,region,stats_trainer_last_14_runs,href,profile,owner_id,trainer_location,stats_jockey_last_14_runs,stats_jockey_ovr_profit,race_type,course_id,damsire,horse_id,medical,sire_region,stats_jockey_ovr_runs,surface,date,sire_id,stats_horse_distance,stats_trainer_ovr_runs,colour,stats_jockey_last_14_profit,distance_f,dam_region,damsire_region,claim,dam_id,prev_owners,wind_surgery_second,sex_code,sire,non_runner,dam,stats_jockey_last_14_wins,trainer_id,stats_trainer_ovr_wins,stats_trainer_last_14_profit,silk_path,jockey_allowance,gelding_first_time,going,trainer_14_days_wins,stats_horse_course,stats_jockey_ovr_wins,owner
Leopardstown,14:10,Look De Vega At Ballylinch Stud Fillies Maiden,,1m,,3yo,,"€10,013",16,Beatific,3,filly,1,4,Donnacha Aidan OBrien,Gavin Ryan,,False,129,,,,,,Frankel filly for whom market best guide on debut,"Frankel homebred half-sister to 7f winner Yuzu (RPR 74); dam German 7.5f AW/1m Listed winner (100), half-sister to German Listed winners Diatribe (6f 2yo/7f) and Daktani (1m); market best guide on debut.",,,40,False,5%,1m,2,[],2023-03-29,1080589,96343,"{'runs': '0', 'wins': '0'}",1760,16,False,Flaxman Stables Ireland Ltd,107700,10%,,False,19,,917348,10%,-25.90,13%,IRE,15,https://www.racingpost.com/racecards/187/leopardstown/2026-04-12/917348,9083749/beatific,211003,"Ballyroe, Co Tipperary",10,-52.65,Flat,187,Pivotal,9083749,[],GB,123,Turf,2026-04-12,763453,"{'runs': '0', 'wins': '0'}",86,B,-7.80,8,GER,GB,,1508534,,False,F,Frankel,False,Diaphora,1,36806,9,-10.70,,,False,Good To Yielding,3,"{'runs': '0', 'wins': '0'}",6,Flaxman Stables Ireland Ltd
Leopardstown,14:10,Look De Vega At Ballylinch Stud Fillies Maiden,,1m,,3yo,,"€10,013",16,Cromac Quay,3,filly,2,11,Mrs John Harrington,Scott McCullagh,,False,129,,,,,,Night Of Thunder filly; another for market likely best guide on debut,"Night Of Thunder filly is closely related to Japanese 6f turf winner Irifi (inc 2yo); dam 1m 2yo/1m2f Listed winner (RPR 105), closely related to 1m Listed winner Mooharib, family of 1m2f/1m4f Group 1 winners Rewilding and Dar Re Mi; another for market likely best guide on debut.",,,33.33,False,2%,1m,0,[],2023-03-06,1131943,96054,"{'runs': '0', 'wins': '0'}",1760,21,False,Stonethorn Stud Farm Ltd,506927,11%,,False,0,,917348,0%,-57.83,0%,IRE,18,https://www.racingpost.com/racecards/187/leopardstown/2026-04-12/917348,8214881/cromac-quay,45537,"Moone, Co Kildare",1,-40.00,Flat,187,Invincible Spirit,8214881,[],IRE,47,Turf,2026-04-12,839502,"{'runs': '0', 'wins': '0'}",250,CH,-1.00,8,GB,IRE,,2084899,,False,F,Night Of Thunder,False,Trethias,0,1285,28,-18.00,,,False,Good To Yielding,0,"{'runs': '0', 'wins': '0'}",1,Stonethorn Stud Farms Limited
Leopardstown,14:10,Look De Vega At Ballylinch Stud Fillies Maiden,,1m,,3yo,,"€10,013",16,Elmakaya,3,filly,3,14,D K Weld,Chris Hayes,,False,129,,,,,,Wootton Bassett filly and Irish Oaks entry; yard won this last year with a debutante,"Wootton Bassett filly; second foal of a 1m winner (RPR 90), a half-sister to winners Edelmira (1m4f Group 3) and Elishpour (useful 10.5f-2m), top family of Group 1 mid-distance/staying winners Ebadiyla, Enzeli and Estimate; Irish Oaks entry has to be worth a close look on debut but this trip could be on the short side; yard won this last year with a debutante.",,,28.57,False,11%,1m,0,[],2023-02-28,22522,83482,"{'runs': '0', 'wins': '0'}",1760,7,False,His Highness The Aga Khans Studs S C,733304,15%,,False,0,,917348,7%,-25.35,0%,IRE,7,https://www.racingpost.com/racecards/187/leopardstown/2026-04-12/917348,8375323/elmakaya,355319,"Curragh, Co Kildare",28,-55.76,Flat,187,Siyouni,8375323,[],GB,243,Turf,2026-04-12,749478,"{'runs': '0', 'wins': '0'}",143,B,-14.90,8,IRE,FR,,2855844,,False,F,Wootton Bassett,False,Eldama,2,1010,22,-7.00,,,False,Good To Yielding,0,"{'runs': '0', 'wins': '0'}",27,Exors Of The Late H H Aga Khan
Leopardstown,14:10,Look De Vega At Ballylinch Stud Fillies Maiden,,1m,,3yo,,"€10,013",16,Forty Six A,3,filly,4,12,J S Bolger,Seamie Heffernan,,False,129,,87,87,13,42,Navan second encouraging; back to 1m here in what appears a stronger maiden,"Some debut promise at the Curragh last month, much better 15 days later at Navan, running a bit in snatches, weakening late when second in 1m2f median auction maiden; back to 1m here in what is probably a stronger maiden so will need to improve again.",,,75,False,8%,1m,0,[],2023-05-26,3150,7605,"{'runs': '0', 'wins': '0'}",1760,7,False,J S Bolger,649434,8%,,False,0,,917348,5%,-89.84,0%,IRE,4,https://www.racingpost.com/racecards/187/leopardstown/2026-04-12/917348,8940444/forty-six-a,186401,"Coolcullen, Co Carlow",22,-68.77,Flat,187,Teofilo,8940444,[],IRE,207,Turf,2026-04-12,806738,"{'runs': '0', 'wins': '0'}",179,B,-19.38,8,IRE,IRE,,856814,,False,F,Dawn Approach,False,Alertness,1,995,15,-4.00,,,False,Good To Yielding,0,"{'runs': '0', 'wins': '0'}",17,Mrs J S Bolger
Leopardstown,14:10,Look De Vega At Ballylinch Stud Fillies Maiden,,1m,,3yo,,"€10,013",16,Gimme Energy,3,filly,5,2,John S ODonoghue,Andrew Slattery,,False,129,,63,18,156,80-,Major improvement needed on 2yo form to play a role on seasonal return,Blue Point filly ran okay on Naas debut in September but took a backward step on Dundalk AW two months later; probably best watched on return.,,,25,False,7%,1m,0,[],2023-03-19,100800,97030,"{'runs': '0', 'wins': '0'}",1760,4,False,Mrs Mary Gallagher,104011,0%,,False,0,,917348,6%,-15.00,0%,IRE,4,https://www.racingpost.com/racecards/187/leopardstown/2026-04-12/917348,8120529/gimme-energy,362040,"Curragh, Co Kildare",17,-40.17,Flat,187,Danehill Dancer,8120529,[],IRE,69,Turf,2026-04-12,1025027,"{'runs': '0', 'wins': '0'}",15,GR,-12.50,8,IRE,IRE,,864270,,False,F,Blue Point,False,Crystal Snowflake,1,39079,0,-4.00,,,False,Good To Yielding,0,"{'runs': '0', 'wins': '0'}",5,Callanan Family Partnership
Leopardstown,14:10,Look De Vega At Ballylinch Stud Fillies Maiden,,1m,,3yo,,"€10,013",16,Grey Intentions,3,filly,6,1,Eddie & Patrick Harty,Jamie Powell,,False,129,,70,63,195,07-,Mildly encouraging run on second juvenile start but looks a more likely type for handicaps,Mildly encouraging run on second juvenile start but looks a more likely type for handicaps.,,,0,False,10%,1m,0,[],2023-03-22,1037015,99788,"{'runs': '1', 'wins': '0'}",1760,10,False,Klawervlei Stud,684715,0%,,False,0,,917348,0%,-28.00,0%,IRE,5,https://www.racingpost.com/racecards/187/leopardstown/2026-04-12/917348,7856880/grey-intentions,370854,"Curragh, Co Kildare",10,+6.50,Flat,187,Thewayyouare,7856880,[],FR,84,Turf,2026-04-12,2177988,"{'runs': '0', 'wins': '0'}",28,GR,-10.00,8,USA,USA,,848569,Brian P Whelan & Thomas J Quinn (2026-04-10),False,F,Sottsass,False,Hug And A Kiss,0,38507,0,-5.00,,,False,Good To Yielding,0,"{'runs': '0', 'wins': '0'}",8,Thomas J Quinn & Brian P Whelan
Leopardstown,14:10,Look De Vega At Ballylinch Stud Fillies Maiden,,1m,,3yo,,"€10,013",16,Hiltons Pass,3,filly,7,10,John S ODonoghue,David Egan,,False,129,,,,15,00,Twice soundly beaten in Curragh maidens last month at huge odds; easily passed over,Twice soundly beaten in Curragh maidens last month at huge odds; easily passed over now.,,,25,False,15%,1m,0,[],2023-04-24,1105142,95388,"{'runs': '0', 'wins': '0'}",1760,4,False,Miss Francesca Turri,659996,0%,,False,0,,917348,16%,-15.00,0%,IRE,4,https://www.racingpost.com/racecards/187/leopardstown/2026-04-12/917348,8940440/hiltons-pass,199199,"Curragh, Co Kildare",25,+16.50,Flat,187,Duke Of Marmalade,8940440,[],USA,13,Turf,2026-04-12,682732,"{'runs': '0', 'wins': '0'}",15,B,-7.02,8,IRE,IRE,,8940439,,False,F,Ravens Pass,False,In Pigiama,4,39079,0,-4.00,,,False,Good To Yielding,0,"{'runs': '0', 'wins': '0'}",2,PM Partnership
Leopardstown,14:10,Look De Vega At Ballylinch Stud Fillies Maiden,,1m,,3yo,,"€10,013",16,Indomiknow,3,filly,8,6,Henry De Bromhead,Ronan Whelan,,False,129,,79,,123,54-,Okay efforts on both late-season juvenile runs at Dundalk; may want more time,Invincible Spirit filly; okay efforts on both late-season juvenile runs at Dundalk without landing a blow; may want more time.,,,38.46,False,10%,1m,1,[],2023-02-26,8236,88563,"{'runs': '0', 'wins': '0'}",1760,53,False,Irish National Stud,107700,9%,,False,9,,917348,7%,-21.00,8%,IRE,12,https://www.racingpost.com/racecards/187/leopardstown/2026-04-12/917348,8362135/indomiknow,118633,"Knockeen, Co Waterford",15,-27.93,Flat,187,Pivotal,8362135,[],IRE,142,Turf,2026-04-12,506927,"{'runs': '1', 'wins': '0'}",45,B,+14.00,8,IRE,GB,,1407519,,False,F,Invincible Spirit,False,Knowing You,1,1249,4,+17.00,,,False,Good To Yielding,5,"{'runs': '0', 'wins': '0'}",14,Mrs Heather de Bromhead
Leopardstown,14:10,Look De Vega At Ballylinch Stud Fillies Maiden,,1m,,3yo,,"€10,013",16,Institute,3,filly,9,8,A P OBrien,Wayne Lordan,,False,129,82,87,46,163,722-,Juvenile form at sprint trips but bred to appreciate this longer trip,"Frankel filly out of a smart sprinting 2yo; twice runner-up in sprint maidens in October when racing prominently, at Naas and when keen at Dundalk in first-time tongue-tie, clear second to a long odds-on shot; upped in trip here and tongue-tie left off (Irish 1,000 Guineas entry).",,,58.82,False,16%,1m,3,[],2023-04-19,1110697,76602,"{'runs': '0', 'wins': '0'}",1760,23,False,Coolmore,662598,23%,,False,17,,917348,13%,-41.08,18%,IRE,17,https://www.racingpost.com/racecards/187/leopardstown/2026-04-12/917348,7780515/institute,145061,"Cashel, Co Tipperary",15,-40.49,Flat,187,Scat Daddy,7780515,[],GB,146,Turf,2026-04-12,763453,"{'runs': '0', 'wins': '0'}",362,B,-10.09,8,USA,USA,,892167,,False,F,Frankel,False,Acapulco,2,7978,82,-10.52,,,False,Good To Yielding,4,"{'runs': '0', 'wins': '0'}",23,Derrick Smith & Mrs John Magnier & Michael Tabor
Leopardstown,14:10,Look De Vega At Ballylinch Stud Fillies Maiden,,1m,,3yo,,"€10,013",16,Justiciar,3,filly,10,16,G M Lyons,Gary Carroll,,False,129,,92,65,246,37-,Promising Curragh maiden debut no built on afterwards; should stay 1m,"Wootton Bassett filly shaped well on debut on Derby weekend at the Curragh, staying on nicely from off the pace to finish third in 7f fillies maiden; disappointing favourite however in similar contest in August, fading tamely inside final 2f; should stay 1m; Irish 1,000 Guineas entry remains of interest.",,,50,False,5%,1m,2,[],2023-04-14,1060442,86848,"{'runs': '0', 'wins': '0'}",1760,9,False,Newtown Anner Stud,756093,13%,,False,22,,917348,6%,-74.78,25%,IRE,8,https://www.racingpost.com/racecards/187/leopardstown/2026-04-12/917348,7739774/justiciar,159428,"Dunsany, Co Meath",16,-91.90,Flat,187,Zoffany,7739774,[],GB,143,Turf,2026-04-12,749478,"{'runs': '0', 'wins': '0'}",214,B,-1.00,8,IRE,IRE,,2740993,,False,F,Wootton Bassett,False,Soul Search,1,8567,27,-0.93,,,False,Good To Yielding,2,"{'runs': '0', 'wins': '0'}",7,Newtown Anner Stud Farm Ltd
