course,off_time,race_name,pattern,distance_round,race_class,age_band,rating_band,prize,field_size,name,age,sex,number,draw,trainer,jockey,headgear,headgear_first,lbs,ofr,rpr,ts,last_run,form,comment,spotlight,quotes,stable_tour,trainer_rtf,stats_trainer_last_14_wins_pct,course_id,damsire_region,horse_id,jockey_allowance,trainer_location,owner_id,dam,stats_horse_distance,stats_jockey_last_14_wins,silk_path,region,sire_id,stats_jockey_ovr_profit,date,href,stats_jockey_last_14_profit,trainer_14_days_runs,race_type,gelding_first_time,breeder_id,going,damsire_id,distance_f,handicap,trainer_14_days_percent,claim,sire,non_runner,distance,dam_id,distance_y,surface,stats_trainer_ovr_wins_pct,sire_region,stats_trainer_last_14_runs,stats_horse_course,prev_owners,wind_surgery_second,wind_surgery_first,profile,stats_trainer_ovr_runs,prev_trainers,sex_code,stats_jockey_ovr_wins_pct,stats_jockey_last_14_runs,stats_trainer_last_14_profit,breeder,stats_jockey_ovr_wins,dam_region,owner,jockey_id,stats_trainer_ovr_profit,stats_jockey_ovr_runs,stats_jockey_last_14_wins_pct,silk_url,dob,colour,medical,reserve,stats_trainer_last_14_wins,stats_trainer_ovr_wins,race_id,stats_horse_going,trainer_14_days_wins,trainer_id,course_detail,damsire
Hexham,14:00,"carpetgallop.co.uk Where Performance Begins ""National Hunt"" Novices' Hurdle (GBB Race)",,2m,4,4yo+,,"£5,446",12,Blues Singer,6,gelding,1,,Alan King,Tom Bellamy,,False,163,118,125,103,33,04-391,,,"2024-03-16 | Blues Singer | 5740913 | Unibet ""Junior"" National Hunt Flat Race (Category 1 Elimination) (GBB Race) | 861140 | Kempton | 28 | 16 | 3520 | Blues Singer is a nice horse, a homebred whom we've had a few months. I love this race because it's just four-year-olds and they don't have to take on older horses. I think we'll put him away and if he did run again this season it wouldn't be at Aintree. That's not because he's not good enough, but because he's only four - Alan King, trainer.","Blues Singer | 5740913 | He's a horse we rate very highly. He's always pleased us and was very impressive in winning a bumper at Kempton last March on his only start. He'll probably start back in a bumper and if he won again we might stay down that route, otherwise he'll switch to hurdles. 25-10-24||Blues Singer | 5740913 | We think a lot of him. He's done everything we've asked of him and he was very impressive when winning a bumper at Kempton last March on his debut. He'll probably start back in a bumper, and if he wins again we might stay down that route, otherwise he'll switch to hurdles. 07-11-24",60,12%,25,GB,5740913,,"Wroughton, Wilts",2086,Mayfair Music,"{'runs': '7', 'wins': '2'}",5,,GB,703532,-2.00,2026-04-13,https://www.racingpost.com/racecards/25/hexham/2026-04-13/915321,-2.13,20,Hurdle,False,12917,Good To Soft,96595,16,False,15,,Blue Bresil,False,2m48y,833056,3568,Turf,40%,FR,17,"{'runs': '0', 'wins': '0'}",,False,False,5740913/blues-singer,10,[],G,0%,28,-4.33,Mrs E Roberts,0,IRE,Mrs E Roberts,89945,+8.08,2,18%,,2020-05-01,B,[],False,2,4,915321,"{'runs': '4', 'wins': '1'}",3,13928,,Presenting
Hexham,14:00,"carpetgallop.co.uk Where Performance Begins ""National Hunt"" Novices' Hurdle (GBB Race)",,2m,4,4yo+,,"£5,446",12,Imperfectlyperfect,6,gelding,2,,Lucinda Russell & Michael Scudamore,Derek Fox,,False,163,108,109,89,105,31-174,,,,Imperfectlyperfect | 5884291 | He won his bumper and his novice hurdle at Hexham. He will definitely come on for that hurdles debut as he wasn't fully wound up by any stretch. He's always worked very well and there's still plenty more to come. 29-10-25,33.33,8%,25,IRE,5884291,,"Milnathort, Perth & Kinross",354779,Ballyknock Hill,"{'runs': '3', 'wins': '2'}",1,,IRE,602597,-27.60,2026-04-13,https://www.racingpost.com/racecards/25/hexham/2026-04-13/915321,-2.60,15,Hurdle,False,1043807,Good To Soft,502686,16,False,7,,Walk In The Park,False,2m48y,853783,3568,Turf,19%,IRE,13,"{'runs': '2', 'wins': '2'}",,False,False,5884291/imperfectlyperfect,31,"[{'trainer': 'Lucinda Russell', 'trainer_id': 6990, 'change_date': '2025-10-06'}]",G,15%,5,-10.60,B Higgins,19,IRE,The Imperfects,88471,-15.04,129,20%,,2020-05-12,B,[],False,1,6,915321,"{'runs': '2', 'wins': '1'}",1,42490,,Indian Danehill
Hexham,14:00,"carpetgallop.co.uk Where Performance Begins ""National Hunt"" Novices' Hurdle (GBB Race)",,2m,4,4yo+,,"£5,446",12,Pimmsoclock,5,gelding,3,,Chris Grant,Danny McMenamin,,False,163,,,,182,1,,,,,60,0%,25,USA,9078745,,"Billingham, Cleveland",250061,Flemens Pride,"{'runs': '0', 'wins': '0'}",10,,FR,763463,-5.82,2026-04-13,https://www.racingpost.com/racecards/25/hexham/2026-04-13/915321,-3.65,5,Hurdle,False,1142383,Good To Soft,96578,16,False,0,,Masked Marvel,False,2m48y,827695,3568,Turf,6%,GB,4,"{'runs': '0', 'wins': '0'}",K G Reveley (2026-04-06),False,False,9078745/pimmsoclock,49,"[{'trainer': 'Mme Marine Pineda', 'trainer_id': 42110, 'change_date': '2026-04-06'}]",G,16%,32,-4.00,Mme Alexia Reveley,26,GB,Mount Pleasant Racing,97855,-32.00,160,31%,,2021-05-03,B,[],False,0,3,915321,"{'runs': '0', 'wins': '0'}",0,10688,,Flemensfirth
Hexham,14:00,"carpetgallop.co.uk Where Performance Begins ""National Hunt"" Novices' Hurdle (GBB Race)",,2m,4,4yo+,,"£5,446",12,Red Oak,6,gelding,4,,James Owen,Jonathan Burke,,False,163,120,125,122,23,2212P4,,,"2025-12-08 | Red Oak | 5784866 | Racing TV Maiden Hurdle (GBB Race) | 907703 | Musselburgh | 16 | 20 | 4351 | I suppose it was a match race on paper and I was happy to follow Derek [Fox, on Timefortom. I wanted to wait a bit longer to challenge him but we steadied up turning in and I'm surprised how well \BRed Oak\P quickened. Ascot was a decent race but, like every horse, they have to win and get confidence. It's a step back for a step forward. He did it really nicely and with his speed I wouldn't be against going back to two miles at some stage too - Jonathan Burke, rider, speaking to Racing TV.",Red Oak | 5784866 | He was placed in bumpers in Ireland and is bred to do well. He looks like a nice new recruit to go hurdling with. 24-10-25,51.16,10%,25,GB,5784866,,"Newmarket, Suffolk",282785,Lady Knightess,"{'runs': '2', 'wins': '0'}",2,,IRE,480864,-3.00,2026-04-13,https://www.racingpost.com/racecards/25/hexham/2026-04-13/915321,-6.50,43,Hurdle,False,1112099,Good To Soft,96595,16,False,9,,Kalanisi,False,2m48y,750484,3568,Turf,0%,IRE,10,"{'runs': '0', 'wins': '0'}",Roxholme Racing & Partner (2025-12-01)||Rossies & Co Syndicate (2025-11-15),False,False,5784866/red-oak,2,"[{'trainer': 'Ciaran Murphy', 'trainer_id': 38077, 'change_date': '2025-10-01'}]",G,0%,25,-6.50,Robert Allen,0,IRE,Roxholme Racing,91759,-2.00,3,8%,,2020-02-29,B,[],False,1,0,915321,"{'runs': '3', 'wins': '0'}",4,40072,,Presenting
Hexham,14:00,"carpetgallop.co.uk Where Performance Begins ""National Hunt"" Novices' Hurdle (GBB Race)",,2m,4,4yo+,,"£5,446",12,Betteryouthanme,6,gelding,5,,R Mike Smith,Toby Wynne,,False,156,,94,90,17,07,,,,,40,0%,25,GB,5884307,,"Galston, E Ayrshire",303654,Valverdesgirl,"{'runs': '2', 'wins': '0'}",1,,IRE,837097,-9.00,2026-04-13,https://www.racingpost.com/racecards/25/hexham/2026-04-13/915321,-10.09,5,Hurdle,False,12205,Good To Soft,445658,16,False,0,,Berkshire,False,2m48y,5884311,3568,Turf,7%,IRE,5,"{'runs': '0', 'wins': '0'}",,False,False,5884307/betteryouthanme,27,[],G,0%,12,-5.00,John Blake,0,IRE,The Racing Suite,100082,-13.75,9,8%,,2020-06-06,BR,[],False,0,2,915321,"{'runs': '0', 'wins': '0'}",0,10241,,Quws
Hexham,14:00,"carpetgallop.co.uk Where Performance Begins ""National Hunt"" Novices' Hurdle (GBB Race)",,2m,4,4yo+,,"£5,446",12,CMon So,5,gelding,6,,Lucinda Russell & Michael Scudamore,Gregor Walkingshaw,,False,156,,69,63,19,646,,,,,33.33,8%,25,FR,7082565,10,"Milnathort, Perth & Kinross",40716,Sail On,"{'runs': '2', 'wins': '0'}",0,,IRE,737740,-5.00,2026-04-13,https://www.racingpost.com/racecards/25/hexham/2026-04-13/915321,-1.00,15,Hurdle,False,1062045,Good To Soft,527138,16,False,7,10,Elusive Pimpernel,False,2m48y,7103607,3568,Turf,19%,USA,13,"{'runs': '1', 'wins': '0'}",,False,False,7082565/cmon-so,31,[],G,0%,1,-10.60,James Reeves,0,IRE,Miss Lucinda V Russell,101694,-15.04,5,0%,,2021-04-29,B,[],False,1,6,915321,"{'runs': '1', 'wins': '0'}",1,42490,,Robin Des Champs
Hexham,14:00,"carpetgallop.co.uk Where Performance Begins ""National Hunt"" Novices' Hurdle (GBB Race)",,2m,4,4yo+,,"£5,446",12,Caspada,5,gelding,7,,Donald McCain,Theo Gillard,,False,156,,91,71,22,406,,,,,50,23%,25,IRE,8476549,,"Cholmondeley, Cheshire",365215,Miss Veale,"{'runs': '3', 'wins': '0'}",5,,IRE,678533,-23.17,2026-04-13,https://www.racingpost.com/racecards/25/hexham/2026-04-13/915321,+5.73,24,Hurdle,False,1140812,Good To Soft,640322,16,False,21,,Dansant,False,2m48y,8476552,3568,Turf,11%,GB,22,"{'runs': '0', 'wins': '0'}",,False,False,8476549/caspada,53,[],G,5%,17,-4.02,Dylan Mangan,2,IRE,Ballaseyr Stud Ltd,93874,-21.13,40,29%,,2021-05-02,B,[],False,5,6,915321,"{'runs': '2', 'wins': '0'}",5,15674,,Dylan Thomas
Hexham,14:00,"carpetgallop.co.uk Where Performance Begins ""National Hunt"" Novices' Hurdle (GBB Race)",,2m,4,4yo+,,"£5,446",12,Countryman Joe,6,gelding,8,,Jane Walton,Peter Kavanagh,t,True,156,,,,19,68P,,,,,100,100%,25,GB,7503786,,"Otterburn, Northumberland",125726,Savage Love,"{'runs': '2', 'wins': '0'}",1,,IRE,572780,-10.50,2026-04-13,https://www.racingpost.com/racecards/25/hexham/2026-04-13/915321,-8.50,1,Hurdle,False,14268,Good To Soft,302727,16,False,100,,Shirocco,False,2m48y,7520216,3568,Turf,5%,GER,1,"{'runs': '1', 'wins': '0'}",,False,False,7503786/countryman-joe,42,[],G,8%,13,+3.50,Charles Persse,6,IRE,Mrs J M Walton,79499,+2.00,77,8%,,2020-01-20,B,"[{'date': '2025-10-10', 'type': 'Wind Surgery'}]",False,1,2,915321,"{'runs': '0', 'wins': '0'}",1,18903,,Wolver Hollow
Hexham,14:00,"carpetgallop.co.uk Where Performance Begins ""National Hunt"" Novices' Hurdle (GBB Race)",,2m,4,4yo+,,"£5,446",12,Hurlyburly,5,gelding,9,,Jedd OKeeffe,Sean Quinlan,,False,156,,,,39,462,,,,,66.67,0%,25,IRE,7400061,,"Coverham, N Yorks",265375,Sharifa,"{'runs': '3', 'wins': '0'}",5,,IRE,572780,-76.41,2026-04-13,https://www.racingpost.com/racecards/25/hexham/2026-04-13/915321,-0.13,6,Hurdle,False,1098775,Good To Soft,84432,16,False,17,,Shirocco,False,2m48y,644409,3568,Turf,38%,GER,2,"{'runs': '0', 'wins': '0'}",,False,False,7400061/hurlyburly,21,[],G,17%,24,-2.00,Noel Gowen,43,GER,Highbeck Racing 3,82485,+4.06,247,21%,,2021-02-18,B,[],False,0,8,915321,"{'runs': '2', 'wins': '0'}",1,14335,,Kings Theatre
Hexham,14:00,"carpetgallop.co.uk Where Performance Begins ""National Hunt"" Novices' Hurdle (GBB Race)",,2m,4,4yo+,,"£5,446",12,Mademewhatiam,7,gelding,10,,Annabelle Sowray,Nathan Moscrop,t,False,156,65,85,72,57,P3P455,,,,,,-,25,IRE,4879063,,"Helmsley, N Yorks",301506,United,"{'runs': '4', 'wins': '0'}",0,,GB,851190,-4.93,2026-04-13,https://www.racingpost.com/racecards/25/hexham/2026-04-13/915321,-13.00,0,Hurdle,False,1130711,Good To Soft,447943,16,False,,,Jack Hobbs,False,2m48y,625982,3568,Turf,0%,GB,0,"{'runs': '3', 'wins': '0'}",Thomas Friel (2025-04-28),False,False,4879063/mademewhatiam,4,"[{'trainer': 'Mark Walford', 'trainer_id': 28876, 'change_date': '2025-04-28'}, {'trainer': 'Paul Nolan', 'trainer_id': 9647, 'change_date': '2024-10-17'}, {'trainer': 'Mark Walford', 'trainer_id': 28876, 'change_date': '2024-05-16'}, {'trainer': 'Annabelle Sowray', 'trainer_id': 35925, 'change_date': '2023-05-01'}]",G,10%,13,0.00,Elms Bloodstock,15,GER,Miss Annabelle Sowray,86357,-4.00,150,0%,,2019-06-09,B,"[{'date': '2024-11-01', 'type': 'Wind Surgery'}]",False,0,0,915321,"{'runs': '2', 'wins': '0'}",0,38136,,Desert King
