strategy,n_bets,win_rate,avg_odds,pnl,roi,p_value,perm_roi_mean,elapsed_s
crushing_favorite,25639,0.5209251530870939,1.7282394009126723,-3378.2,-0.13176020905651545,0.0,-0.35927629782752835,23.9
drift_crash_40,121508,0.16704249925930803,6.784020805214472,-16896.6,-0.13905751061658492,0.0,-0.2716624419791289,25.9
elite_duo,98841,0.1915804170334173,6.106209670076183,-13928.599999999999,-0.14091925415566414,0.0,-0.29666272093564416,25.3
tendance_up_fav,78767,0.40076427945713305,2.2933620678710627,-11188.8,-0.14204933538156841,0.0,-0.30973656480505796,24.7
drift_negative_25,281724,0.1517265124732007,7.692206911729209,-40409.2,-0.14343541906262866,0.0,-0.2670629410344877,29.7
trainer_elite,83438,0.2327836237685467,5.1614650399098725,-11979.6,-0.14357486996332608,0.0,-0.289834188259546,24.9
hippodrome_specialist,67503,0.21754588684947335,5.393153637616106,-10165.0,-0.150585899885931,0.0,-0.306910433610358,24.3
first_at_hippodrome,107887,0.2903037437318676,3.2950372148636995,-16558.2,-0.15347724934422127,0.0,-0.28322708018575,25.5
jockey_hot_last50,127797,0.2294811302299741,4.99318176483016,-19682.699999999997,-0.15401535247306272,0.0,-0.2992878940820207,25.6
distance_specialist,131234,0.1872685432128869,5.666836338144079,-20581.0,-0.15682673697365013,0.0,-0.2896817516802048,25.7
jockey_change_fav,139493,0.25019893471356985,3.91306309277168,-23461.3,-0.1681898016387919,0.0,-0.2706532585864524,26.2
challenger_2nd,142583,0.18746975445880645,4.796731517782625,-24026.699999999997,-0.16851027121045284,0.0,-0.27566470056037534,27.0
elite_horse_comeback,9829,0.20337775969071117,5.540997049547258,-1718.2,-0.1748092379692746,0.0,-0.31240563638213453,23.1
young_4yo_emerging,74717,0.22641433676405637,4.5404235983778785,-13608.400000000001,-0.18213258026955045,0.0,-0.2717402331464058,25.3
break_90_180d,39941,0.16839838762174206,6.358893367717383,-8157.099999999999,-0.20422873738764677,0.0,-0.27310670739340526,24.5
music_hot_2wins5,117965,0.18332556266689273,5.799410842198958,-24621.1,-0.20871529691010043,0.0,-0.29799622769465517,25.4
drift_positive_50,178832,0.05953073275476425,17.636743983179745,-47084.5,-0.2632890086785363,1.0,-0.23684966896304913,27.4
outsider_good_form,20024,0.030363563723531762,22.601727926488213,-7898.5,-0.39445165801038756,1.0,-0.31138733519776274,23.8
